"date","year","home_team","away_team","team","scorer","minute","own_goal","penalty","goal_owner","home_goals","away_goals"
"1919-05-18","1919",Brazil,Argentina,Brazil,Heitor,22.0,False,False,home_team,3,1
"1919-05-18","1919",Brazil,Argentina,Brazil,Amílcar Barbuy,57.0,False,False,home_team,3,1
"1919-05-18","1919",Brazil,Argentina,Brazil,Adolpho Millón Junior,77.0,False,False,home_team,3,1
"1919-05-22","1919",Argentina,Chile,Argentina,Edwin Clarcke,10.0,False,False,home_team,4,1
"1919-05-22","1919",Argentina,Chile,Argentina,Carlos Izaguirre,13.0,False,False,home_team,4,1
"1919-05-22","1919",Argentina,Chile,Argentina,Edwin Clarcke,23.0,False,False,home_team,4,1
"1919-05-22","1919",Argentina,Chile,Argentina,Edwin Clarcke,62.0,False,False,home_team,4,1
"1919-05-22","1919",Argentina,Chile,Chile,Alfredo France,33.0,False,False,away_team,4,1
"1919-05-26","1919",Brazil,Uruguay,Brazil,Neco,29.0,False,False,home_team,2,2
"1919-05-26","1919",Brazil,Uruguay,Brazil,Neco,63.0,False,False,home_team,2,2
"1919-05-26","1919",Brazil,Uruguay,Uruguay,Isabelino Gradín,13.0,False,False,away_team,2,2
"1919-05-26","1919",Brazil,Uruguay,Uruguay,Carlos Scarone,17.0,False,False,away_team,2,2
"1919-05-29","1919",Brazil,Uruguay,Brazil,Arthur Friedenreich,122.0,False,False,home_team,1,0
"1920-09-11","1920",Chile,Brazil,Brazil,Ismael Alvariza,53.0,False,False,away_team,0,1
"1920-09-12","1920",Uruguay,Argentina,Argentina,Raúl Echeverría,75.0,False,False,away_team,1,1
"1920-09-12","1920",Uruguay,Argentina,Uruguay,José Piendibene,10.0,False,False,home_team,1,1
"1920-09-18","1920",Brazil,Uruguay,Uruguay,Ángel Romano,23.0,False,False,away_team,0,6
"1920-09-18","1920",Brazil,Uruguay,Uruguay,Antonio Urdinarán,26.0,False,True,away_team,0,6
"1920-09-18","1920",Brazil,Uruguay,Uruguay,José Pérez,29.0,False,False,away_team,0,6
"1920-09-18","1920",Brazil,Uruguay,Uruguay,Antonio Campolo,48.0,False,False,away_team,0,6
"1920-09-18","1920",Brazil,Uruguay,Uruguay,Ángel Romano,60.0,False,False,away_team,0,6
"1920-09-18","1920",Brazil,Uruguay,Uruguay,José Pérez,65.0,False,False,away_team,0,6
"1920-09-20","1920",Chile,Argentina,Argentina,Miguel Dellavalle,13.0,False,False,away_team,1,1
"1920-09-20","1920",Chile,Argentina,Chile,Hernando Bolados,30.0,False,False,home_team,1,1
"1920-09-25","1920",Argentina,Brazil,Argentina,Raúl Echeverría,40.0,False,False,home_team,2,0
"1920-09-25","1920",Argentina,Brazil,Argentina,Julio Libonatti,73.0,False,False,home_team,2,0
"1920-10-03","1920",Chile,Uruguay,Chile,Aurelio Domínguez,60.0,False,False,home_team,1,2
"1920-10-03","1920",Chile,Uruguay,Uruguay,Ángel Romano,37.0,False,False,away_team,1,2
"1920-10-03","1920",Chile,Uruguay,Uruguay,José Pérez,65.0,False,False,away_team,1,2
"1921-10-02","1921",Argentina,Brazil,Argentina,Julio Libonatti,27.0,False,False,home_team,1,0
"1921-10-09","1921",Paraguay,Uruguay,Paraguay,Gerardo Rivas,9.0,False,False,home_team,2,1
"1921-10-09","1921",Paraguay,Uruguay,Paraguay,Ildefonso López,66.0,False,False,home_team,2,1
"1921-10-09","1921",Paraguay,Uruguay,Uruguay,José Piendibene,83.0,False,False,away_team,2,1
"1921-10-12","1921",Brazil,Paraguay,Brazil,Ernesto Duarte Machado da Silva,21.0,False,False,home_team,3,0
"1921-10-12","1921",Brazil,Paraguay,Brazil,Ernesto Duarte Machado da Silva,44.0,False,False,home_team,3,0
"1921-10-12","1921",Brazil,Paraguay,Brazil,Aníbal Médicis Candiota,46.0,False,False,home_team,3,0
"1921-10-16","1921",Argentina,Paraguay,Argentina,Julio Libonatti,1.0,False,False,home_team,3,0
"1921-10-16","1921",Argentina,Paraguay,Argentina,Blas Saruppo,71.0,False,False,home_team,3,0
"1921-10-16","1921",Argentina,Paraguay,Argentina,Raúl Echeverría,76.0,False,False,home_team,3,0
"1921-10-23","1921",Brazil,Uruguay,Brazil,José Carlos Guimarães,53.0,False,False,home_team,1,2
"1921-10-23","1921",Brazil,Uruguay,Uruguay,Ángel Romano,1.0,False,False,away_team,1,2
